时间(秒),轨道,小节,拍,位置,音符/和弦,频率(Hz),持续时间,力度,备注
0.000,低音,0,0,0,M0,31.88,1.00,100,根音-强拍
0.000,旋律,0,0,0,M0,63.77,1.00,68,soft-主音
0.083,和弦,0,0,1,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
0.083,旋律,0,0,1,M0,127.53,1.00,50,soft-主音
0.167,旋律,0,0,2,H0,168.28,1.00,85,normal-主音
0.250,和弦,0,0,3,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
0.250,旋律,0,0,3,H0,84.14,1.00,50,soft-主音
0.333,旋律,0,0,4,J0,55.51,1.00,75,normal-主音
0.417,旋律,0,0,5,J0,55.51,1.00,70,normal-主音
0.500,低音,0,1,6,S0,36.62,1.00,100,根音-强拍
0.500,旋律,0,1,6,J+,56.03,1.00,83,soft-主音
0.583,和弦,0,1,7,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,大三和弦-弱拍
0.583,旋律,0,1,7,J0,55.51,1.00,50,soft-主音
0.667,旋律,0,1,8,J0,55.51,1.00,75,normal-主音
0.750,和弦,0,1,9,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,大三和弦-强拍
0.750,旋律,0,1,9,H0,84.14,1.00,50,soft-主音
0.833,旋律,0,1,10,H0,168.28,1.00,85,normal-主音
0.917,旋律,0,1,11,H0,84.14,1.00,70,normal-主音
1.000,低音,0,2,12,H0,42.07,1.00,100,根音-强拍
1.000,旋律,0,2,12,H0,168.28,1.00,78,soft-主音
1.083,和弦,0,2,13,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,大三和弦-弱拍
1.083,旋律,0,2,13,H0,168.28,1.00,60,soft-主音
1.167,旋律,0,2,14,H0,168.28,1.00,85,normal-主音
1.250,和弦,0,2,15,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,大三和弦-强拍
1.250,旋律,0,2,15,H0,84.14,1.00,50,soft-主音
1.333,旋律,0,2,16,M0,63.77,1.00,75,normal-主音
1.417,旋律,0,2,17,M0,63.77,1.00,70,normal-主音
1.500,低音,0,3,18,T0,48.32,1.00,100,根音-强拍
1.500,旋律,0,3,18,M-,63.18,1.00,58,soft-主音
1.583,和弦,0,3,19,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,大三和弦-弱拍
1.583,旋律,0,3,19,M-,126.36,1.00,40,soft-主音
1.667,旋律,0,3,20,M-,63.18,1.00,65,normal-主音
1.750,和弦,0,3,21,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,大三和弦-强拍
1.750,旋律,0,3,21,M-,126.36,1.00,40,soft-主音
1.833,旋律,0,3,22,M-,252.71,1.00,75,normal-主音
1.917,旋律,0,3,23,M-,126.36,1.00,60,normal-主音
2.000,低音,0,4,24,M0,31.88,1.00,100,根音-强拍
2.000,旋律,0,4,24,M-,63.18,1.00,58,soft-主音
2.083,和弦,0,4,25,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
2.083,旋律,0,4,25,M0,63.77,1.00,50,soft-主音
2.167,旋律,0,4,26,M-,63.18,1.00,65,normal-主音
2.250,和弦,0,4,27,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
2.250,旋律,0,4,27,M-,126.36,1.00,40,soft-主音
2.333,旋律,0,4,28,M-,63.18,1.00,65,normal-主音
2.417,旋律,0,4,29,M0,63.77,1.00,70,normal-主音
2.500,低音,1,0,0,M0,31.88,1.00,100,根音-强拍
2.500,旋律,1,0,0,M0,63.77,1.00,68,soft-主音
2.583,和弦,1,0,1,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
2.583,旋律,1,0,1,M0,63.77,1.00,50,soft-主音
2.667,旋律,1,0,2,M0,127.53,1.00,75,normal-主音
2.750,和弦,1,0,3,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,大三和弦-强拍
2.750,旋律,1,0,3,M0,63.77,1.00,50,soft-主音
2.833,旋律,1,0,4,M0,127.53,1.00,75,normal-主音
2.917,旋律,1,0,5,M0,63.77,1.00,70,normal-主音
3.000,低音,1,1,6,S0,36.62,1.00,100,根音-强拍
3.000,旋律,1,1,6,M-,63.18,1.00,58,soft-主音
3.083,和弦,1,1,7,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,大三和弦-弱拍
3.083,旋律,1,1,7,M-,126.36,1.00,40,soft-主音
3.167,旋律,1,1,8,M-,252.71,1.00,75,normal-主音
3.250,和弦,1,1,9,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,大三和弦-强拍
3.250,旋律,1,1,9,M-,126.36,1.00,40,soft-主音
3.333,旋律,1,1,10,M0,127.53,1.00,75,normal-主音
3.417,旋律,1,1,11,M+,128.71,1.00,85,normal-主音
3.500,低音,1,2,12,H0,42.07,1.00,100,根音-强拍
3.500,旋律,1,2,12,M0,127.53,1.00,68,soft-主音
3.583,和弦,1,2,13,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,大三和弦-弱拍
3.583,旋律,1,2,13,M0,63.77,1.00,50,soft-主音
3.667,旋律,1,2,14,M0,127.53,1.00,75,normal-主音
3.750,和弦,1,2,15,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,大三和弦-强拍
3.750,旋律,1,2,15,M0,127.53,1.00,50,soft-主音
3.833,旋律,1,2,16,M0,127.53,1.00,75,normal-主音
3.917,旋律,1,2,17,M0,63.77,1.00,70,normal-主音
4.000,低音,1,3,18,T0,48.32,1.00,100,根音-强拍
4.000,旋律,1,3,18,M0,127.53,1.00,68,soft-主音
4.083,和弦,1,3,19,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,大三和弦-弱拍
4.083,旋律,1,3,19,M0,127.53,1.00,50,soft-主音
4.167,旋律,1,3,20,M0,127.53,1.00,75,normal-主音
4.250,和弦,1,3,21,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,大三和弦-强拍
4.250,旋律,1,3,21,M0,127.53,1.00,50,soft-主音
4.333,旋律,1,3,22,M0,63.77,1.00,75,normal-主音
4.417,旋律,1,3,23,M0,63.77,1.00,70,normal-主音
4.500,低音,1,4,24,M0,31.88,1.00,100,根音-强拍
4.500,旋律,1,4,24,M0,127.53,1.00,68,soft-主音
4.583,和弦,1,4,25,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,大三和弦-弱拍
