时间(秒),轨道,音符类型,主频率(Hz),并行频率,装饰音,演奏法,表情,复杂度
0.000,bass,演奏音符,31.88,无,无,normal,bold_accent+accent,1
0.000,melody,演奏音符,63.77,无,无,normal,bold_accent+accent,1
0.088,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,bold_accent+accent,5
0.088,melody,演奏音符,127.53,无,cascade(127.5Hz)+cascade(153.0Hz)+cascade(183.6Hz)+cascade(220.4Hz)+cascade(264.4Hz),normal,special_五行瀑布+bold_accent,6
0.177,melody,演奏音符,63.77,无,无,normal,bold_accent,1
0.265,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,bold_accent,5
0.265,melody,演奏音符,127.53,无,无,normal,bold_accent,1
0.354,melody,演奏音符,168.28,无,无,normal,bold_accent,1
0.442,melody,演奏音符,84.14,无,无,normal,bold_accent,1
0.531,bass,演奏音符,36.62,无,无,normal,bold_accent,1
0.531,melody,演奏音符,168.28,无,无,normal,bold_accent+accent,1
0.619,chord,演奏音符,220.00,247.5+275.0+302.5+330.0,无,normal,bold_accent,5
0.619,melody,演奏音符,127.53,无,cascade(127.5Hz)+cascade(153.0Hz)+cascade(183.6Hz)+cascade(220.4Hz)+cascade(264.4Hz),normal,special_五行瀑布+bold_accent,6
0.708,melody,演奏音符,63.77,无,cascade(63.8Hz)+cascade(76.5Hz)+cascade(91.8Hz)+cascade(110.2Hz)+cascade(132.2Hz),normal,special_五行瀑布+bold_accent,6
0.796,chord,演奏音符,220.00,247.5+275.0+302.5+330.0,无,normal,bold_accent,5
0.796,melody,演奏音符,127.53,无,无,normal,bold_accent,1
0.885,melody,演奏音符,168.28,无,无,normal,bold_accent,1
0.973,melody,演奏音符,84.14,无,无,normal,bold_accent,1
1.062,bass,演奏音符,42.07,无,无,normal,无,1
1.062,melody,演奏音符,84.14,无,cascade(84.1Hz)+cascade(101.0Hz)+cascade(121.2Hz)+cascade(145.4Hz)+cascade(174.5Hz),normal,special_五行瀑布+accent,6
1.150,chord,演奏音符,252.71,284.3+315.9+347.5+379.1,无,normal,无,5
1.150,melody,演奏音符,168.28,无,cascade(168.3Hz)+cascade(201.9Hz)+cascade(242.3Hz)+cascade(290.8Hz)+cascade(348.9Hz),normal,special_五行瀑布,6
1.239,melody,演奏音符,166.73,无,无,normal,无,1
1.327,chord,演奏音符,252.71,无,无,normal,无,1
1.327,melody,演奏音符,168.28,无,无,normal,无,1
1.416,melody,演奏音符,84.14,无,无,normal,无,1
1.504,melody,演奏音符,84.92,无,无,normal,无,1
1.593,bass,演奏音符,48.32,无,无,normal,无,1
1.593,melody,演奏音符,169.84,无,无,normal,accent,1
1.681,chord,演奏音符,290.29,326.6+362.9+399.2+435.4,无,normal,accent,5
1.681,melody,演奏音符,339.68,无,无,normal,无,1
1.770,melody,演奏音符,169.84,无,cascade(169.8Hz)+cascade(203.8Hz)+cascade(244.6Hz)+cascade(293.5Hz)+cascade(352.2Hz),normal,special_五行瀑布,6
1.858,chord,演奏音符,290.29,无,无,normal,无,1
1.858,melody,演奏音符,339.68,无,cascade(339.7Hz)+cascade(407.6Hz)+cascade(489.1Hz)+cascade(587.0Hz)+cascade(704.4Hz),normal,special_五行瀑布,6
1.947,melody,演奏音符,169.84,无,无,normal,无,1
2.035,melody,演奏音符,84.92,无,cascade(84.9Hz)+cascade(101.9Hz)+cascade(122.3Hz)+cascade(146.7Hz)+cascade(176.1Hz),normal,special_五行瀑布,6
2.124,bass,演奏音符,31.88,无,无,normal,无,1
2.124,melody,演奏音符,84.14,无,cascade(84.1Hz)+cascade(101.0Hz)+cascade(121.2Hz)+cascade(145.4Hz)+cascade(174.5Hz),normal,special_五行瀑布+accent,6
2.212,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,无,5
2.212,melody,演奏音符,84.14,无,无,normal,无,1
2.301,melody,演奏音符,168.28,无,无,normal,无,1
2.389,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,无,5
2.389,melody,演奏音符,84.14,无,无,normal,无,1
2.478,melody,演奏音符,168.28,无,cascade(168.3Hz)+cascade(201.9Hz)+cascade(242.3Hz)+cascade(290.8Hz)+cascade(348.9Hz),normal,special_五行瀑布,6
2.566,melody,演奏音符,168.28,无,cascade(168.3Hz)+cascade(201.9Hz)+cascade(242.3Hz)+cascade(290.8Hz)+cascade(348.9Hz),normal,special_五行瀑布,6
2.655,bass,演奏音符,31.88,无,无,normal,无,1
2.655,melody,演奏音符,63.77,无,无,normal,accent,1
2.743,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,无,5
2.743,melody,演奏音符,127.53,无,cascade(127.5Hz)+cascade(153.0Hz)+cascade(183.6Hz)+cascade(220.4Hz)+cascade(264.4Hz),normal,special_五行瀑布,6
2.832,melody,演奏音符,127.53,无,无,normal,无,1
2.920,chord,演奏音符,191.52,215.5+239.4+263.3+287.3,无,normal,无,5
2.920,melody,演奏音符,128.71,无,无,normal,无,1
3.009,melody,演奏音符,257.43,无,无,normal,无,1
3.097,melody,演奏音符,128.71,无,无,normal,无,1
3.186,bass,演奏音符,36.62,无,无,normal,accent,1
3.186,melody,演奏音符,64.36,无,无,normal,accent,1
3.274,chord,演奏音符,220.00,247.5+275.0+302.5+330.0,无,normal,accent,5
3.274,melody,演奏音符,128.71,无,无,normal,无,1
3.363,melody,演奏音符,64.36,无,cascade(64.4Hz)+cascade(77.2Hz)+cascade(92.7Hz)+cascade(111.2Hz)+cascade(133.5Hz),normal,special_五行瀑布,6
3.451,chord,演奏音符,220.00,247.5+275.0+302.5+330.0,无,normal,无,5
3.451,melody,演奏音符,128.71,无,cascade(128.7Hz)+cascade(154.5Hz)+cascade(185.3Hz)+cascade(222.4Hz)+cascade(266.9Hz),normal,special_五行瀑布,6
3.540,melody,演奏音符,257.43,无,无,normal,无,1
3.628,melody,演奏音符,128.71,无,无,normal,无,1
3.717,bass,演奏音符,42.07,无,无,normal,无,1
3.717,melody,演奏音符,64.36,无,无,normal,accent,1
3.805,chord,演奏音符,252.71,284.3+315.9+347.5+379.1,无,normal,无,5
3.805,melody,演奏音符,128.71,无,无,normal,无,1
3.894,melody,演奏音符,127.53,无,cascade(127.5Hz)+cascade(153.0Hz)+cascade(183.6Hz)+cascade(220.4Hz)+cascade(264.4Hz),normal,special_五行瀑布,6
3.982,chord,演奏音符,252.71,284.3+315.9+347.5+379.1,无,normal,无,5
3.982,melody,演奏音符,128.71,无,cascade(128.7Hz)+cascade(154.5Hz)+cascade(185.3Hz)+cascade(222.4Hz)+cascade(266.9Hz),normal,special_五行瀑布,6
4.071,melody,演奏音符,127.53,无,cascade(127.5Hz)+cascade(153.0Hz)+cascade(183.6Hz)+cascade(220.4Hz)+cascade(264.4Hz),normal,special_五行瀑布,6
4.159,melody,演奏音符,63.77,无,无,normal,无,1
4.248,bass,演奏音符,48.32,无,无,normal,无,1
4.248,melody,演奏音符,63.77,无,cascade(63.8Hz)+cascade(76.5Hz)+cascade(91.8Hz)+cascade(110.2Hz)+cascade(132.2Hz),normal,special_五行瀑布+accent,6
4.336,chord,演奏音符,290.29,无,无,normal,无,1
4.336,melody,演奏音符,127.53,无,无,normal,无,1
4.425,melody,演奏音符,63.77,无,cascade(63.8Hz)+cascade(76.5Hz)+cascade(91.8Hz)+cascade(110.2Hz)+cascade(132.2Hz),normal,special_五行瀑布,6
4.513,chord,演奏音符,290.29,326.6+362.9+399.2+435.4,无,normal,无,5
