根音键名,根音频率,和弦音频率,比率,音程名,音分偏差,来源
M0,31.882504,191.521124,1.500000,完全五度,2.04,existing
M0,31.882504,159.412521,1.250000,大三度,0.00,generated
M0,31.882504,153.036020,1.200000,小三度,0.00,generated
S0,36.623380,220.000000,1.500000,完全五度,2.04,existing
S0,36.623380,183.116901,1.250000,大三度,0.00,generated
S0,36.623380,175.792225,1.200000,小三度,0.00,generated
H0,42.069217,252.713638,1.500000,完全五度,2.04,existing
H0,42.069217,210.346083,1.250000,大三度,0.00,generated
H0,42.069217,201.932240,1.200000,小三度,0.00,generated
T0,48.324840,290.291740,1.500000,完全五度,2.04,existing
T0,48.324840,241.624199,1.250000,大三度,0.00,generated
T0,48.324840,231.959231,1.200000,小三度,0.00,generated
J0,55.510664,166.728822,1.500000,完全五度,2.04,existing
J0,55.510664,138.776660,1.250000,大三度,0.00,generated
J0,55.510664,133.225594,1.200000,小三度,0.00,generated
