类型,频率,键名短,键名长,音区,五行,极性,根音键名,比率,音程名,音分偏差,来源
根音,31.882504,M0,木 中,-1,1,0,,,,0.0,Petersen原音阶
根音,36.623380,S0,水 中,-1,2,0,,,,0.0,Petersen原音阶
根音,42.069217,H0,火 中,-1,3,0,,,,0.0,Petersen原音阶
根音,48.324840,T0,土 中,-1,4,0,,,,0.0,Petersen原音阶
根音,55.510664,J0,金 中,0,0,0,,,,0.0,Petersen原音阶
根音,63.765008,M0,木 中,0,1,0,,,,0.0,Petersen原音阶
根音,73.246760,S0,水 中,0,2,0,,,,0.0,Petersen原音阶
根音,84.138433,H0,火 中,0,3,0,,,,0.0,Petersen原音阶
根音,96.649680,T0,土 中,0,4,0,,,,0.0,Petersen原音阶
根音,111.021328,J0,金 中,1,0,0,,,,0.0,Petersen原音阶
根音,127.530017,M0,木 中,1,1,0,,,,0.0,Petersen原音阶
根音,146.493521,S0,水 中,1,2,0,,,,0.0,Petersen原音阶
根音,168.276866,H0,火 中,1,3,0,,,,0.0,Petersen原音阶
根音,193.299359,T0,土 中,1,4,0,,,,0.0,Petersen原音阶
和弦音,47.880281,,,,,,M0,1.500000,完全五度,2.04,existing
和弦音,39.853130,,,,,,M0,1.250000,大三度,0.00,generated
和弦音,38.259005,,,,,,M0,1.200000,小三度,0.00,generated
和弦音,55.000000,,,,,,S0,1.500000,完全五度,2.04,existing
和弦音,45.779225,,,,,,S0,1.250000,大三度,0.00,generated
和弦音,43.948056,,,,,,S0,1.200000,小三度,0.00,generated
和弦音,63.178410,,,,,,H0,1.500000,完全五度,2.04,existing
和弦音,52.586521,,,,,,H0,1.250000,大三度,0.00,generated
和弦音,50.483060,,,,,,H0,1.200000,小三度,0.00,generated
和弦音,72.572935,,,,,,T0,1.500000,完全五度,2.04,existing
和弦音,60.406050,,,,,,T0,1.250000,大三度,0.00,generated
和弦音,57.989808,,,,,,T0,1.200000,小三度,0.00,generated
和弦音,83.364411,,,,,,J0,1.500000,完全五度,2.04,existing
和弦音,69.388330,,,,,,J0,1.250000,大三度,0.00,generated
和弦音,66.612797,,,,,,J0,1.200000,小三度,0.00,generated
和弦音,95.760562,,,,,,M0,1.500000,完全五度,2.04,existing
和弦音,79.706261,,,,,,M0,1.250000,大三度,0.00,generated
和弦音,76.518010,,,,,,M0,1.200000,小三度,0.00,generated
和弦音,110.000000,,,,,,S0,1.500000,完全五度,2.04,existing
和弦音,91.558450,,,,,,S0,1.250000,大三度,0.00,generated
和弦音,87.896112,,,,,,S0,1.200000,小三度,0.00,generated
和弦音,126.356819,,,,,,H0,1.500000,完全五度,2.04,existing
和弦音,105.173041,,,,,,H0,1.250000,大三度,0.00,generated
和弦音,100.966120,,,,,,H0,1.200000,小三度,0.00,generated
和弦音,145.145870,,,,,,T0,1.500000,完全五度,2.04,existing
和弦音,120.812100,,,,,,T0,1.250000,大三度,0.00,generated
和弦音,115.979616,,,,,,T0,1.200000,小三度,0.00,generated
和弦音,166.728822,,,,,,J0,1.500000,完全五度,2.04,existing
和弦音,138.776660,,,,,,J0,1.250000,大三度,0.00,generated
和弦音,133.225594,,,,,,J0,1.200000,小三度,0.00,generated
和弦音,191.521124,,,,,,M0,1.500000,完全五度,2.04,existing
和弦音,159.412521,,,,,,M0,1.250000,大三度,0.00,generated
和弦音,153.036020,,,,,,M0,1.200000,小三度,0.00,generated
和弦音,220.000000,,,,,,S0,1.500000,完全五度,2.04,existing
和弦音,183.116901,,,,,,S0,1.250000,大三度,0.00,generated
和弦音,175.792225,,,,,,S0,1.200000,小三度,0.00,generated
和弦音,252.713638,,,,,,H0,1.500000,完全五度,2.04,existing
和弦音,210.346083,,,,,,H0,1.250000,大三度,0.00,generated
和弦音,201.932240,,,,,,H0,1.200000,小三度,0.00,generated
和弦音,290.291740,,,,,,T0,1.500000,完全五度,2.04,existing
和弦音,241.624199,,,,,,T0,1.250000,大三度,0.00,generated
和弦音,231.959231,,,,,,T0,1.200000,小三度,0.00,generated
