轨道类型,小节,拍,位置,绝对时间(秒),音符/和弦,频率(Hz),持续时间(拍),力度,强弱拍,备注
低音,0,0,0,0.000,M0,31.88,1.00,100,强,根音
和弦,0,0,1,0.083,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,弱,大三和弦
和弦,0,0,3,0.250,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,强,大三和弦
低音,0,1,6,0.500,S0,36.62,1.00,100,强,根音
和弦,0,1,7,0.583,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,弱,大三和弦
和弦,0,1,9,0.750,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,强,大三和弦
低音,0,2,12,1.000,H0,42.07,1.00,100,强,根音
和弦,0,2,13,1.083,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,弱,大三和弦
和弦,0,2,15,1.250,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,强,大三和弦
低音,0,3,18,1.500,T0,48.32,1.00,100,强,根音
和弦,0,3,19,1.583,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,弱,大三和弦
和弦,0,3,21,1.750,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,强,大三和弦
低音,0,4,24,2.000,M0,31.88,1.00,100,强,根音
和弦,0,4,25,2.083,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,弱,大三和弦
和弦,0,4,27,2.250,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,强,大三和弦
低音,1,0,0,2.500,M0,31.88,1.00,100,强,根音
和弦,1,0,1,2.583,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,弱,大三和弦
和弦,1,0,3,2.750,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,强,大三和弦
低音,1,1,6,3.000,S0,36.62,1.00,100,强,根音
和弦,1,1,7,3.083,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,弱,大三和弦
和弦,1,1,9,3.250,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,强,大三和弦
低音,1,2,12,3.500,H0,42.07,1.00,100,强,根音
和弦,1,2,13,3.583,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,弱,大三和弦
和弦,1,2,15,3.750,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,强,大三和弦
低音,1,3,18,4.000,T0,48.32,1.00,100,强,根音
和弦,1,3,19,4.083,完全五度+大三度+小三度,290.3+241.6+232.0,0.40,71,弱,大三和弦
和弦,1,3,21,4.250,完全五度+大三度+小三度,290.3+241.6+232.0,0.60,92,强,大三和弦
低音,1,4,24,4.500,M0,31.88,1.00,100,强,根音
和弦,1,4,25,4.583,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,弱,大三和弦
和弦,1,4,27,4.750,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,强,大三和弦
低音,2,0,0,5.000,M0,31.88,1.00,100,强,根音
和弦,2,0,1,5.083,完全五度+大三度+小三度,191.5+159.4+153.0,0.40,71,弱,大三和弦
和弦,2,0,3,5.250,完全五度+大三度+小三度,191.5+159.4+153.0,0.60,92,强,大三和弦
低音,2,1,6,5.500,S0,36.62,1.00,100,强,根音
和弦,2,1,7,5.583,完全五度+大三度+小三度,220.0+183.1+175.8,0.40,71,弱,大三和弦
和弦,2,1,9,5.750,完全五度+大三度+小三度,220.0+183.1+175.8,0.60,92,强,大三和弦
低音,2,2,12,6.000,H0,42.07,1.00,100,强,根音
和弦,2,2,13,6.083,完全五度+大三度+小三度,252.7+210.3+201.9,0.40,71,弱,大三和弦
和弦,2,2,15,6.250,完全五度+大三度+小三度,252.7+210.3+201.9,0.60,92,强,大三和弦
低音,2,3,18,6.500,T0,48.32,1.00,100,强,根音
