key_short,key_long,e,p,n,theta_deg,u,interval_a,interval_b,freq,cents_ref
J-,金 阴,0,-1,1,0.0,0.0,32.36068,52.36068,32.36068,-3318.2276
J0,金 中,0,0,1,4.8,0.013333,32.36068,52.36068,32.568979,-3307.1198
J+,金 阳,0,1,1,9.6,0.026667,32.36068,52.36068,32.778618,-3296.0119
M-,木 阴,1,-1,1,72.0,0.2,32.36068,52.36068,35.629946,-3151.6096
M0,木 中,1,0,1,76.8,0.213333,32.36068,52.36068,35.859288,-3140.5017
M+,木 阳,1,1,1,81.6,0.226667,32.36068,52.36068,36.090107,-3129.3938
S-,水 阴,2,-1,1,144.0,0.4,32.36068,52.36068,39.229493,-2984.9915
S0,水 中,2,0,1,148.8,0.413333,32.36068,52.36068,39.482005,-2973.8837
S+,水 阳,2,1,1,153.6,0.426667,32.36068,52.36068,39.736142,-2962.7758
H-,火 阴,3,-1,1,216.0,0.6,32.36068,52.36068,43.192687,-2818.3735
H0,火 中,3,0,1,220.8,0.613333,32.36068,52.36068,43.470709,-2807.2656
H+,火 阳,3,1,1,225.6,0.626667,32.36068,52.36068,43.75052,-2796.1577
T-,土 阴,4,-1,1,288.0,0.8,32.36068,52.36068,47.556266,-2651.7554
T0,土 中,4,0,1,292.8,0.813333,32.36068,52.36068,47.862376,-2640.6475
T+,土 阳,4,1,1,297.6,0.826667,32.36068,52.36068,48.170455,-2629.5397
J-,金 阴,0,-1,2,0.0,0.0,52.36068,84.72136,52.36068,-2485.1373
J0,金 中,0,0,2,4.8,0.013333,52.36068,84.72136,52.697714,-2474.0295
J+,金 阳,0,1,2,9.6,0.026667,52.36068,84.72136,53.036918,-2462.9216
M-,木 阴,1,-1,2,72.0,0.2,52.36068,84.72136,57.650464,-2318.5193
M0,木 中,1,0,2,76.8,0.213333,52.36068,84.72136,58.021547,-2307.4114
M+,木 阳,1,1,2,81.6,0.226667,52.36068,84.72136,58.39502,-2296.3035
S-,水 阴,2,-1,2,144.0,0.4,52.36068,84.72136,63.474653,-2151.9012
S0,水 中,2,0,2,148.8,0.413333,52.36068,84.72136,63.883225,-2140.7934
S+,水 阳,2,1,2,153.6,0.426667,52.36068,84.72136,64.294428,-2129.6855
H-,火 阴,3,-1,2,216.0,0.6,52.36068,84.72136,69.887235,-1985.2832
H0,火 中,3,0,2,220.8,0.613333,52.36068,84.72136,70.337084,-1974.1753
H+,火 阳,3,1,2,225.6,0.626667,52.36068,84.72136,70.789829,-1963.0674
T-,土 阴,4,-1,2,288.0,0.8,52.36068,84.72136,76.947655,-1818.6651
T0,土 中,4,0,2,292.8,0.813333,52.36068,84.72136,77.44295,-1807.5572
T+,土 阳,4,1,2,297.6,0.826667,52.36068,84.72136,77.941434,-1796.4494
J-,金 阴,0,-1,3,0.0,0.0,84.72136,137.082039,84.72136,-1652.0471
J0,金 中,0,0,3,4.8,0.013333,84.72136,137.082039,85.266693,-1640.9392
J+,金 阳,0,1,3,9.6,0.026667,84.72136,137.082039,85.815536,-1629.8313
M-,木 阴,1,-1,3,72.0,0.2,84.72136,137.082039,93.28041,-1485.429
M0,木 中,1,0,3,76.8,0.213333,84.72136,137.082039,93.880836,-1474.3211
M+,木 阳,1,1,3,81.6,0.226667,84.72136,137.082039,94.485126,-1463.2133
S-,水 阴,2,-1,3,144.0,0.4,84.72136,137.082039,102.704145,-1318.8109
S0,水 中,2,0,3,148.8,0.413333,84.72136,137.082039,103.36523,-1307.7031
S+,水 阳,2,1,3,153.6,0.426667,84.72136,137.082039,104.03057,-1296.5952
H-,火 阴,3,-1,3,216.0,0.6,84.72136,137.082039,113.079922,-1152.1929
H0,火 中,3,0,3,220.8,0.613333,84.72136,137.082039,113.807793,-1141.085
H+,火 阳,3,1,3,225.6,0.626667,84.72136,137.082039,114.54035,-1129.9771
T-,土 阴,4,-1,3,288.0,0.8,84.72136,137.082039,124.503921,-985.5748
T0,土 中,4,0,3,292.8,0.813333,84.72136,137.082039,125.305326,-974.4669
T+,土 阳,4,1,3,297.6,0.826667,84.72136,137.082039,126.111889,-963.3591
J-,金 阴,0,-1,4,0.0,0.0,137.082039,221.803399,137.082039,-818.9568
J0,金 中,0,0,4,4.8,0.013333,137.082039,221.803399,137.964407,-807.8489
J+,金 阳,0,1,4,9.6,0.026667,137.082039,221.803399,138.852454,-796.741
M-,木 阴,1,-1,4,72.0,0.2,137.082039,221.803399,150.930873,-652.3387
M0,木 中,1,0,4,76.8,0.213333,137.082039,221.803399,151.902383,-641.2308
M+,木 阳,1,1,4,81.6,0.226667,137.082039,221.803399,152.880146,-630.123
S-,水 阴,2,-1,4,144.0,0.4,137.082039,221.803399,166.178798,-485.7206
S0,水 中,2,0,4,148.8,0.413333,137.082039,221.803399,167.248455,-474.6128
S+,水 阳,2,1,4,153.6,0.426667,137.082039,221.803399,168.324997,-463.5049
H-,火 阴,3,-1,4,216.0,0.6,137.082039,221.803399,182.967157,-319.1026
H0,火 中,3,0,4,220.8,0.613333,137.082039,221.803399,184.144878,-307.9947
H+,火 阳,3,1,4,225.6,0.626667,137.082039,221.803399,185.330179,-296.8868
T-,土 阴,4,-1,4,288.0,0.8,137.082039,221.803399,201.451576,-152.4845
T0,土 中,4,0,4,292.8,0.813333,137.082039,221.803399,202.748276,-141.3766
T+,土 阳,4,1,4,297.6,0.826667,137.082039,221.803399,204.053323,-130.2688
J-,金 阴,0,-1,5,0.0,0.0,221.803399,358.885438,221.803399,14.1335
J0,金 中,0,0,5,4.8,0.013333,221.803399,358.885438,223.2311,25.2414
J+,金 阳,0,1,5,9.6,0.026667,221.803399,358.885438,224.66799,36.3493
M-,木 阴,1,-1,5,72.0,0.2,221.803399,358.885438,244.211283,180.7516
M0,木 中,1,0,5,76.8,0.213333,221.803399,358.885438,245.783218,191.8595
M+,木 阳,1,1,5,81.6,0.226667,221.803399,358.885438,247.365272,202.9673
S-,水 阴,2,-1,5,144.0,0.4,221.803399,358.885438,268.882943,347.3697
S0,水 中,2,0,5,148.8,0.413333,221.803399,358.885438,270.613685,358.4775
S+,水 阳,2,1,5,153.6,0.426667,221.803399,358.885438,272.355567,369.5854
H-,火 阴,3,-1,5,216.0,0.6,221.803399,358.885438,296.047079,513.9877
H0,火 中,3,0,5,220.8,0.613333,221.803399,358.885438,297.952671,525.0956
H+,火 阳,3,1,5,225.6,0.626667,221.803399,358.885438,299.870528,536.2035
T-,土 阴,4,-1,5,288.0,0.8,221.803399,358.885438,325.955497,680.6058
T0,土 中,4,0,5,292.8,0.813333,221.803399,358.885438,328.053602,691.7136
T+,土 阳,4,1,5,297.6,0.826667,221.803399,358.885438,330.165213,702.8215
J-,金 阴,0,-1,6,0.0,0.0,358.885438,580.688837,358.885438,847.2238
J0,金 中,0,0,6,4.8,0.013333,358.885438,580.688837,361.195507,858.3317
J+,金 阳,0,1,6,9.6,0.026667,358.885438,580.688837,363.520445,869.4396
M-,木 阴,1,-1,6,72.0,0.2,358.885438,580.688837,395.142156,1013.8419
M0,木 中,1,0,6,76.8,0.213333,358.885438,580.688837,397.685601,1024.9498
M+,木 阳,1,1,6,81.6,0.226667,358.885438,580.688837,400.245418,1036.0576
S-,水 阴,2,-1,6,144.0,0.4,358.885438,580.688837,435.061741,1180.46
S0,水 中,2,0,6,148.8,0.413333,358.885438,580.688837,437.86214,1191.5678
S+,水 阳,2,1,6,153.6,0.426667,358.885438,580.688837,440.680564,1202.6757
H-,火 阴,3,-1,6,216.0,0.6,358.885438,580.688837,479.014237,1347.078
H0,火 中,3,0,6,220.8,0.613333,358.885438,580.688837,482.097549,1358.1859
H+,火 阳,3,1,6,225.6,0.626667,358.885438,580.688837,485.200707,1369.2938
T-,土 阴,4,-1,6,288.0,0.8,358.885438,580.688837,527.407073,1513.6961
T0,土 中,4,0,6,292.8,0.813333,358.885438,580.688837,530.801879,1524.8039
T+,土 阳,4,1,6,297.6,0.826667,358.885438,580.688837,534.218536,1535.9118
J-,金 阴,0,-1,7,0.0,0.0,580.688837,939.574275,580.688837,1680.3141
J0,金 中,0,0,7,4.8,0.013333,580.688837,939.574275,584.426606,1691.422
J+,金 阳,0,1,7,9.6,0.026667,580.688837,939.574275,588.188435,1702.5299
M-,木 阴,1,-1,7,72.0,0.2,580.688837,939.574275,639.353439,1846.9322
M0,木 中,1,0,7,76.8,0.213333,580.688837,939.574275,643.46882,1858.0401
M+,木 阳,1,1,7,81.6,0.226667,580.688837,939.574275,647.61069,1869.1479
S-,水 阴,2,-1,7,144.0,0.4,580.688837,939.574275,703.944684,2013.5503
S0,水 中,2,0,7,148.8,0.413333,580.688837,939.574275,708.475825,2024.6581
S+,水 阳,2,1,7,153.6,0.426667,580.688837,939.574275,713.036131,2035.766
H-,火 阴,3,-1,7,216.0,0.6,580.688837,939.574275,775.061316,2180.1683
H0,火 中,3,0,7,220.8,0.613333,580.688837,939.574275,780.05022,2191.2762
H+,火 阳,3,1,7,225.6,0.626667,580.688837,939.574275,785.071235,2202.3841
T-,土 阴,4,-1,7,288.0,0.8,580.688837,939.574275,853.362569,2346.7864
T0,土 中,4,0,7,292.8,0.813333,580.688837,939.574275,858.855481,2357.8942
T+,土 阳,4,1,7,297.6,0.826667,580.688837,939.574275,864.383749,2369.0021
J-,金 阴,0,-1,8,0.0,0.0,939.574275,1520.263112,939.574275,2513.4044
J0,金 中,0,0,8,4.8,0.013333,939.574275,1520.263112,945.622113,2524.5123
J+,金 阳,0,1,8,9.6,0.026667,939.574275,1520.263112,951.70888,2535.6202
M-,木 阴,1,-1,8,72.0,0.2,939.574275,1520.263112,1034.495595,2680.0225
M0,木 中,1,0,8,76.8,0.213333,939.574275,1520.263112,1041.154421,2691.1304
M+,木 阳,1,1,8,81.6,0.226667,939.574275,1520.263112,1047.856108,2702.2382
S-,水 阴,2,-1,8,144.0,0.4,939.574275,1520.263112,1139.006425,2846.6405
S0,水 中,2,0,8,148.8,0.413333,939.574275,1520.263112,1146.337964,2857.7484
S+,水 阳,2,1,8,153.6,0.426667,939.574275,1520.263112,1153.716696,2868.8563
H-,火 阴,3,-1,8,216.0,0.6,939.574275,1520.263112,1254.075553,3013.2586
H0,火 中,3,0,8,220.8,0.613333,939.574275,1520.263112,1262.147768,3024.3665
H+,火 阳,3,1,8,225.6,0.626667,939.574275,1520.263112,1270.271942,3035.4743
T-,土 阴,4,-1,8,288.0,0.8,939.574275,1520.263112,1380.769642,3179.8767
T0,土 中,4,0,8,292.8,0.813333,939.574275,1520.263112,1389.657359,3190.9845
T+,土 阳,4,1,8,297.6,0.826667,939.574275,1520.263112,1398.602286,3202.0924
J-,金 阴,0,-1,9,0.0,0.0,1520.263112,2459.837388,1520.263112,3346.4947
J0,金 中,0,0,9,4.8,0.013333,1520.263112,2459.837388,1530.04872,3357.6026
J+,金 阳,0,1,9,9.6,0.026667,1520.263112,2459.837388,1539.897315,3368.7105
M-,木 阴,1,-1,9,72.0,0.2,1520.263112,2459.837388,1673.849034,3513.1128
M0,木 中,1,0,9,76.8,0.213333,1520.263112,2459.837388,1684.623241,3524.2207
M+,木 阳,1,1,9,81.6,0.226667,1520.263112,2459.837388,1695.466799,3535.3285
S-,水 阴,2,-1,9,144.0,0.4,1520.263112,2459.837388,1842.951109,3679.7308
S0,水 中,2,0,9,148.8,0.413333,1520.263112,2459.837388,1854.813789,3690.8387
S+,水 阳,2,1,9,153.6,0.426667,1520.263112,2459.837388,1866.752827,3701.9466
H-,火 阴,3,-1,9,216.0,0.6,1520.263112,2459.837388,2029.136869,3846.3489
H0,火 中,3,0,9,220.8,0.613333,1520.263112,2459.837388,2042.197988,3857.4568
H+,火 阳,3,1,9,225.6,0.626667,1520.263112,2459.837388,2055.343178,3868.5646
T-,土 阴,4,-1,9,288.0,0.8,1520.263112,2459.837388,2234.132211,4012.967
T0,土 中,4,0,9,292.8,0.813333,1520.263112,2459.837388,2248.51284,4024.0748
T+,土 阳,4,1,9,297.6,0.826667,1520.263112,2459.837388,2262.986035,4035.1827
J-,金 阴,0,-1,10,0.0,0.0,2459.837388,3980.1005,2459.837388,4179.585
J0,金 中,0,0,10,4.8,0.013333,2459.837388,3980.1005,2475.670833,4190.6929
J+,金 阳,0,1,10,9.6,0.026667,2459.837388,3980.1005,2491.606194,4201.8008
M-,木 阴,1,-1,10,72.0,0.2,2459.837388,3980.1005,2708.344629,4346.2031
M0,木 中,1,0,10,76.8,0.213333,2459.837388,3980.1005,2725.777662,4357.311
M+,木 阳,1,1,10,81.6,0.226667,2459.837388,3980.1005,2743.322907,4368.4188
S-,水 阴,2,-1,10,144.0,0.4,2459.837388,3980.1005,2981.957533,4512.8211
S0,水 中,2,0,10,148.8,0.413333,2459.837388,3980.1005,3001.151754,4523.929
S+,水 阳,2,1,10,153.6,0.426667,2459.837388,3980.1005,3020.469523,4535.0369
H-,火 阴,3,-1,10,216.0,0.6,2459.837388,3980.1005,3283.212423,4679.4392
H0,火 中,3,0,10,220.8,0.613333,2459.837388,3980.1005,3304.345756,4690.5471
H+,火 阳,3,1,10,225.6,0.626667,2459.837388,3980.1005,3325.61512,4701.6549
T-,土 阴,4,-1,10,288.0,0.8,2459.837388,3980.1005,3614.901853,4846.0573
T0,土 中,4,0,10,292.8,0.813333,2459.837388,3980.1005,3638.1702,4857.1651
T+,土 阳,4,1,10,297.6,0.826667,2459.837388,3980.1005,3661.58832,4868.273
J-,金 阴,0,-1,11,0.0,0.0,3980.1005,6000.0,3980.1005,5012.6753
J0,金 中,0,0,11,4.8,0.013333,3980.1005,6000.0,4005.719552,5023.7832
J+,金 阳,0,1,11,9.6,0.026667,3980.1005,6000.0,4031.503509,5034.8911
M-,木 阴,1,-1,11,72.0,0.2,3980.1005,6000.0,4382.193663,5179.2934
M0,木 中,1,0,11,76.8,0.213333,3980.1005,6000.0,4410.400902,5190.4012
M+,木 阳,1,1,11,81.6,0.226667,3980.1005,6000.0,4438.789706,5201.5091
S-,水 阴,2,-1,11,144.0,0.4,3980.1005,6000.0,4824.908642,5345.9114
S0,水 中,2,0,11,148.8,0.413333,3980.1005,6000.0,4855.965543,5357.0193
S+,水 阳,2,1,11,153.6,0.426667,3980.1005,6000.0,4887.22235,5368.1272
H-,火 阴,3,-1,11,216.0,0.6,3980.1005,6000.0,5312.349292,5512.5295
H0,火 中,3,0,11,220.8,0.613333,3980.1005,6000.0,5346.543744,5523.6374
H+,火 阳,3,1,11,225.6,0.626667,3980.1005,6000.0,5380.958298,5534.7452
T-,土 阴,4,-1,11,288.0,0.8,3980.1005,6000.0,5849.034064,5679.1476
T0,土 中,4,0,11,292.8,0.813333,3980.1005,6000.0,5886.68304,5690.2554
T+,土 阳,4,1,11,297.6,0.826667,3980.1005,6000.0,5924.574355,5701.3633
